   56.25 	 81267.00 
  166.75 	  2481.00 
  277.25 	  1048.00 
  387.75 	   660.00 
  498.25 	   374.00 
  608.75 	   307.00 
  719.25 	   249.00 
  829.75 	   227.00 
  940.25 	   155.00 
 1050.75 	   130.00 
 1161.25 	   110.00 
 1271.75 	    94.00 
 1382.25 	    86.00 
 1492.75 	    79.00 
 1603.25 	    82.00 
 1713.75 	    71.00 
 1824.25 	    57.00 
 1934.75 	    52.00 
 2045.25 	    40.00 
 2155.75 	    46.00 
 2266.25 	    37.00 
 2376.75 	    29.00 
 2487.25 	    29.00 
 2597.75 	    21.00 
 2708.25 	    18.00 
 2818.75 	    14.00 
 2929.25 	     9.00 
 3039.75 	    13.00 
 3150.25 	    14.00 
 3260.75 	    11.00 
 3371.25 	    12.00 
 3481.75 	    17.00 
 3592.25 	     7.00 
 3702.75 	    10.00 
 3813.25 	     5.00 
 3923.75 	     5.00 
 4034.25 	    11.00 
 4144.75 	     5.00 
 4255.25 	     9.00 
 4365.75 	     2.00 
 4476.25 	     6.00 
 4586.75 	     3.00 
 4697.25 	     1.00 
 4807.75 	     4.00 
 4918.25 	     1.00 
 5028.75 	     3.00 
 5139.25 	     4.00 
 5249.75 	     2.00 
 5360.25 	     3.00 
 5470.75 	     2.00 
 5581.25 	     0.00 
 5691.75 	     0.00 
 5802.25 	     2.00 
 5912.75 	     3.00 
 6023.25 	     1.00 
 6133.75 	     0.00 
 6244.25 	     0.00 
 6354.75 	     0.00 
 6465.25 	     0.00 
 6575.75 	     2.00 
 6686.25 	     1.00 
 6796.75 	     0.00 
 6907.25 	     0.00 
 7017.75 	     0.00 
 7128.25 	     0.00 
 7238.75 	     1.00 
 7349.25 	     0.00 
 7459.75 	     1.00 
 7570.25 	     0.00 
 7680.75 	     2.00 
 7791.25 	     0.00 
 7901.75 	     0.00 
 8012.25 	     0.00 
 8122.75 	     0.00 
 8233.25 	     0.00 
 8343.75 	     0.00 
 8454.25 	     0.00 
 8564.75 	     0.00 
 8675.25 	     0.00 
 8785.75 	     0.00 
 8896.25 	     0.00 
 9006.75 	     0.00 
 9117.25 	     0.00 
 9227.75 	     0.00 
 9338.25 	     0.00 
 9448.75 	     0.00 
 9559.25 	     0.00 
 9669.75 	     0.00 
 9780.25 	     0.00 
 9890.75 	     0.00 
10001.25 	     0.00 
10111.75 	     0.00 
10222.25 	     0.00 
10332.75 	     0.00 
10443.25 	     0.00 
10553.75 	     0.00 
10664.25 	     0.00 
10774.75 	     0.00 
10885.25 	     1.00 
10995.75 	     1.00 
